graph,nvgraph-st,nvgraph-it,monoomp-st,monoomp-it,monoomp-dt,monocuda-st,monocuda-it,monocuda-dt,levlomp-st,levlomp-it,levlomp-dt,levlcuda-st,levlcuda-it,levlcuda-dt,hypr-dt,hypr-puregpu,hypr-purecpu,levlomp-ds-wrt-levlomp-st,levlomp-ds-wrt-hypr-purecpu,monocuda-ds-wrt-nvgraph-it,monocuda-ds-wrt-hypr-puregpu
arabic-2005,695.24072,242.59912,3384.93836,334.71728,370.15632,301.1208,17.25992,17.8898,4140.66736,286.85136,276.48092,406.79576,23.0738,22.97944,32.906,37.48,3028.932,15.0,11.0,13.6,2.1
uk-2005,969.80312,335.67936,5172.51872,978.45164,986.99884,637.86772,43.84748,44.388,4528.68308,610.83104,605.30548,548.1748,40.82968,40.5652,56.436,63.79,1131.736,7.5,1.9,7.6,1.4
it-2004,1153.69972,413.292,5861.67888,1137.44248,1141.16112,555.11736,45.7432,46.34492,7263.89068,775.3796,836.49572,686.3976,41.65956,41.3918,81.53,91.148,1708.86,8.7,2.0,8.9,2.0
soc-Epinions1,7.75384,6.1862,11.94888,6.55884,6.28904,0.99776,0.61072,0.6416,9.25368,3.51552,3.61504,3.0378,1.28696,1.27796,2.58,3.9,9.66,2.6,2.7,9.6,6.1
soc-LiveJournal1,166.7912,90.74868,1483.13316,288.91104,273.70576,78.69712,11.1338,11.19624,1204.10572,270.75752,238.14176,49.77572,9.69812,9.49428,9.912,11.896,406.638,5.1,1.7,8.1,1.1
wiki-Talk,24.43632,17.5472,49.6034,13.36852,15.20336,1.17396,0.189,0.19,40.06284,16.16728,16.07628,2.27424,0.27876,0.2726,0.64,1.6,57.196,2.5,3.6,92.4,8.4
cit-Patents,15.66512,44.41988,72.5682,44.62444,18.98336,6.40644,2.20392,1.28052,82.33548,14.58556,5.89968,24.32316,2.52896,2.1672,4.06,5.528,3097.034,14.0,524.9,34.7,4.3
coPapersDBLP,24.98792,14.82032,120.4376,25.6738,21.93892,5.09412,0.73024,0.73104,111.56292,24.50728,23.89076,5.17864,0.74784,0.74616,1,1.82,466.244,4.7,19.5,20.3,2.5
amazon-2008,14.51744,10.62112,34.48912,10.09944,10.81872,1.66752,0.4262,0.43308,29.61916,8.03572,7.51372,1.8228,0.5354,0.51876,1.64,1.86,1392.432,3.9,185.3,24.5,4.3
italy_osm,61.97392,39.0312,47.32056,14.29644,14.93472,0.20208,0.202,0.20224,63.92324,28.44656,26.15496,0.24264,0.24148,0.23988,0.8,1.64,490.712,2.4,18.8,193.0,8.1
Linux_call_graph,4.25308,6.1338,15.96504,29.50964,11.2296,0.79944,1.17008,0.987,29.63904,6.05068,5.83236,56.41668,10.84516,10.82116,17.456,20.268,166.62,5.1,28.6,6.2,20.5